Team,OVR Rating,OFF Rating,DEF Rating
Cardinal Ritter,-15.62,-6.42,-9.20
Wellsville-Middletown,-15.81,-6.55,-9.26
Hazelwood Central,-16.06,-5.73,-10.33
Miami (Amoret),-16.88,-10.05,-6.82
Osceola,-17.00,-7.02,-9.97
Laquey,-17.53,-6.47,-11.07
Bucklin with Macon County,-17.58,-7.80,-9.78
Chadwick,-17.72,-7.55,-10.18
Stanberry,-17.76,-7.78,-9.98
Northeast (Kansas City),-18.53,-6.80,-11.73
Marion County,-19.43,-8.76,-10.67
Hazelwood East,-20.21,-8.32,-11.89
Scott County Central,-20.45,-7.06,-13.39
Verona,-20.76,-8.33,-12.43
Central (Kansas City),-20.84,-8.04,-12.80
Humansville with Fair Play,-20.98,-9.02,-11.96
Delta (Deering),-20.99,-8.12,-12.87
North Nodaway,-21.03,-8.18,-12.85
Viburnum,-21.28,-9.21,-12.07
STEAM Academy,-21.65,-9.90,-11.75
Bunker with Lesterville,-22.38,-9.42,-12.96
Gateway Science Charter,-22.57,-8.45,-14.12
Smithton,-23.75,-9.05,-14.70
Gateway with Soldan International Studies,-26.07,-9.57,-16.50
Niangua,-26.25,-12.45,-13.80
Southeast,-27.07,-10.43,-16.64
Jennings,-27.37,-10.49,-16.88
